density,density_atomic,formation_energy_per_atom,energy_above_hull,band_gap
4.250456756,12.26440025,0.279584713,0.279584713,0
3.045206653,12.61266174,-2.411452729,0.423480991,3.0807
3.029726576,11.28494413,-2.546014989,0.381999583,0.0365
2.49482033,20.11417526,-1.651854295,0.063163037,0
2.501566733,20.05992993,-1.644364299,0.070653034,0.0067
2.747211989,12.58287474,-2.817209245,0.101470128,3.4514
3.305253911,12.03546737,-2.728400702,0.091847263,3.2235
3.321182474,11.97774464,-2.768715797,0.051532167,3.4526
2.505205943,10.24396131,-1.99497782,0.047047925,2.6187
2.483619974,10.33299499,-1.984746781,0.057278964,2.4071
3.288469874,11.15808269,-2.182294253,0,1.2569
4.626887364,11.21644967,-0.337677556,0.314294528,0.0328
6.262964109,12.17042738,-0.142072547,0.295635302,0
3.235709701,12.29414233,-2.71949457,0.100753395,3.2084
3.38836333,11.7402627,-2.788585957,0.031662008,3.288
2.943079818,13.05032953,-2.754882676,0.080051044,3.3067
2.918787366,13.15894467,-2.809567616,0.025366103,3.6599
3.630131282,9.306532016,-1.83625725,0.043743046,3.1408
3.353365658,8.706951015,-1.761987722,0.059024292,0
3.397188264,10.83022063,-1.392491345,0.172300805,0.1985
2.319306266,17.6805187,-1.092059852,0.163841679,0
3.228719336,12.32075986,-2.722693698,0.097554266,3.1784
3.81490101,9.644365165,-1.132933876,0.431858274,0
2.848818812,13.48213557,-2.765281643,0.069652076,3.4191
3.074800456,11.02401987,-2.59457805,0.037503451,0
2.774071399,13.84541201,-2.732960353,0.101973366,3.9275
3.139861956,10.79558968,-2.608738767,0.023342733,0.3103
2.852703914,13.46377423,-2.777298508,0.057635211,3.6711
2.829898041,13.57227748,-2.779153382,0.055780338,3.093
3.817017264,8.535778951,-1.820166784,0.057792488,0
3.856510067,8.448367839,-1.874445947,0.003513325,1.0267
2.942163829,13.05439251,-2.760922914,0.074010806,3.0531
4.358311318,9.028374285,-1.825207146,0.119729602,0.1033
3.972599386,13.06380135,-0.651972084,0,0
5.155477652,14.7848473,-0.437707849,0,0
3.07556296,12.48817272,-2.813669161,0.021264558,3.7896
3.665189778,10.47917401,-2.820979396,0.013954323,3.8199
3.037844126,11.37906453,-2.890123207,0.028556166,3.7511
3.239347645,11.85675811,-2.74808359,0.08685013,3.391
2.345758906,18.951204,-1.088722242,0.115941401,0.2352
1.995471775,17.32313369,-2.852973433,0.06570594,3.2415
3.309332205,10.24274966,-2.632081501,0,0.3231
2.878819297,10.27271818,-1.940740664,0.073545368,1.9077
2.479937207,9.344895861,-0.5460529,0,0
2.566593652,9.498196849,-1.961743484,0.025519845,2.7019
2.023019959,16.84557842,-1.281909782,0.085555148,0
3.318163116,8.79932345,-1.759684287,0.061327726,0
3.155047416,10.95635652,-2.708186647,0.210492726,0
2.323629479,24.36869956,-1.521427023,0,1.2679
3.628689091,29.16542054,-1.205589705,0,0.9341
3.660973895,9.22812726,-1.835668416,0.04433188,3.0406
3.176208849,16.58809183,-0.871862226,0.198615951,0
3.074932815,11.24181451,-2.845668397,0.073010976,3.9909
3.604692881,10.65504406,-2.822980603,0.011953116,3.6304
2.664569439,16.68372943,-0.945982837,0.258680806,0
2.55893287,17.37245869,-1.064073667,0.140589976,0
2.262790154,18.12211253,-1.094782966,0.161118565,0
2.421635304,16.93340766,-1.130861191,0.12504034,0
2.779202038,10.6409318,-1.94555877,0.068727262,2.3432
2.521236699,10.17882722,-1.99612198,0.045903765,2.8302
2.480479975,10.34607536,-1.970647033,0.071378712,2.9721
3.144665465,12.65008187,-2.779402336,0.040845629,3.3838
3.573501763,10.74804604,-2.820392123,0.014541596,3.1115
2.453125707,18.1217601,-1.079006861,0.125656782,0.1358
3.132399481,10.91504942,-2.883921529,0.044093043,2.74
2.947792938,11.72667995,-2.851039251,0.067640122,3.7305
2.407026695,17.03617908,-1.115085862,0.140815669,0
2.33715621,14.79054938,-2.839078299,0.079601074,3.4169
3.041218289,10.41016209,-2.955519199,0.028343884,3.9933
2.56258409,14.98805896,-2.730019562,0.104914157,3.5801
2.961300866,12.97003013,-2.771204761,0.063728959,3.2635
2.988617479,11.5664934,-2.846214379,0.072464994,3.476
2.890007562,11.9611536,-2.830615144,0.088064229,3.7983
2.518453324,15.25069418,-2.723125903,0.111807817,4.0991
3.019861346,12.71851819,-2.761452308,0.073481412,3.4195
2.686297264,14.29780761,-2.763963866,0.070969854,3.9985
3.626232954,10.59175236,-2.820114147,0.014819572,3.4413
2.205659732,17.41345725,-2.756633256,0.078300464,4.0041
2.824344183,12.2392393,-2.823575578,0.095103795,2.6491
3.186075113,12.48566785,-2.64232041,0.177927555,2.7983
4.231705396,9.298488942,-1.924714835,0.020221913,0
3.298601739,11.64377045,-2.729954936,0.104978783,3.2133
3.056310924,11.31031011,-2.892629885,0.026049488,3.7143
3.341039869,11.49587044,-2.745930911,0.089002809,3.3584
2.675156326,8.886508401,-1.875766649,0.054300379,0.3274
3.480241645,11.43031998,-2.783978278,0.036269687,3.4167
3.532436709,11.26142628,-2.573896029,0.246351936,0.0107
2.569928894,9.616949306,-1.778746956,0.074703638,0
2.500295012,15.91023276,-2.727799478,0.092448487,3.2182
2.524740173,13.69163635,-2.859964461,0.058714912,3.6036
3.097124548,10.22224804,-2.962361402,0.02150168,3.8562
2.913104758,13.18461389,-2.819977,0.01495672,0.028
3.599698685,10.22093837,-1.417485106,0.147307044,0.3333
2.808177054,13.67725778,-2.746689667,0.088244052,3.1503
3.01856051,13.17855828,-2.760997998,0.059249966,3.4248
3.228068789,12.32324284,-2.765152718,0.055095246,3.2461
3.271553963,11.44045929,-2.455247463,0.00866566,0.5301
3.072508792,11.25068362,-2.886407887,0.032271486,3.6804
2.859203009,13.43317048,-2.744897482,0.090036237,3.6761
2.903599182,13.22777665,-2.825005161,0.009928558,3.2942
3.328775143,10.27113387,-2.916305208,0.011709363,3.66
3.045241252,12.61251844,-2.773857146,0.061076573,3.8705
3.162735934,10.01018612,-2.983863083,0,3.9858
2.918817019,10.84671466,-2.941381353,0.04248173,3.7638
2.416433778,15.89456405,-2.72966517,0.10526855,4.312
2.734528026,16.25690253,-1.029232964,0.175430679,0
2.693141897,14.26146966,-2.757153507,0.077780213,3.5533
2.996184615,10.56663037,-2.895446594,0.088416489,3.8366
2.882409941,10.9837171,-2.955533581,0.028329502,4.0755
2.911384386,10.87440583,-2.95847008,0.025393003,4.0091
6.148507995,12.39698312,-0.216248686,0.221459163,0
2.912470105,15.26366073,-0.968735644,0.235927999,0
3.644613267,14.45619609,-0.960133297,0.11034488,0
3.651644071,9.251704804,-1.82534024,0.054660056,2.9202
4.360258793,9.024341834,-1.870063351,0.074873397,1.672
3.418897651,11.63540991,-2.607350593,0.212897372,3.5665
3.65308096,10.88951382,-2.405692321,0.414555644,4.3867
1.865083782,18.02994351,-1.267396974,0.104476309,0
4.072462085,9.662082792,-1.90616955,0.038767198,1.7861
2.110850251,16.14465135,-1.141556682,0.225908248,0
1.992475927,20.99430114,0.136482424,0.148822734,0
3.694773416,11.50429395,-0.267661366,0.190706033,0
3.151186193,12.18847732,-2.758354506,0.076579214,3.4049
2.678561989,12.76442183,-2.83445283,0.093561742,3.7284
3.224788286,10.77924097,-0.311405093,0.097707252,0
5.376219054,14.17779839,0.087834298,0.525542147,0
3.44961699,11.5317949,-2.764140962,0.056107003,3.6062
3.225930082,12.33141283,-2.737899111,0.082348853,3.1318
3.101278255,12.82705785,-2.629018183,0.191229781,3.0341
3.070196774,12.95691401,-2.747647942,0.072600023,3.4609
3.864278746,8.431383386,-1.87716736,0.000791912,0.0652
2.710239313,10.04858069,-1.874669577,0.069127843,0.3043
2.67845185,8.570746813,-1.964386226,0.029306552,0.3347
4.143655143,9.496076404,-1.917560836,0.027375911,1.4741
3.242142409,12.26974962,-2.776358359,0.043889606,0
3.52599415,10.89286023,-2.75711314,0.07782058,3.5757
3.101551755,12.82592674,-2.735659037,0.084588927,3.1951
3.029726576,11.28494413,-2.905452693,0.022561879,3.8478
2.683678811,14.31175791,-2.761481392,0.073452327,2.7755
3.11394394,12.77488496,-2.743286696,0.076961269,2.624
2.608515727,14.7241441,-2.737984551,0.096949168,4.1232
3.494947167,11.38222517,-2.752761169,0.067486795,2.2238
3.65310474,10.88944293,-2.784328236,0.035919729,3.7202
3.619973631,8.065691491,-1.80451671,0.016495304,0.3321
3.414350063,10.77578389,-1.249979174,0.314812976,0
2.301738042,18.32981092,-1.903313035,0.038662376,0.6533
8.754887431,12.73619493,-0.121665891,0,0
8.51497968,13.43772264,-0.242395083,0.012542316,0
3.647597267,14.44436987,-0.908704959,0.161773218,0
4.363244694,9.018166202,-1.943657716,0.001279032,1.6818
1.999289558,17.29005396,-2.853073662,0.065605711,3.2266
2.807636769,10.53316429,-1.894174369,0.120111663,0
3.118869283,12.31477114,-2.753551468,0.081382251,0
3.201139337,9.890095997,-2.981191258,0.002671825,4.0832
2.997378404,11.53268613,-2.850446507,0.068232866,3.7731
3.094972997,11.0470415,-2.835483787,0.092530785,3.7079
3.081223916,11.21886149,-2.863927221,0.054752152,3.7392
3.021650121,11.44004863,-2.867501475,0.051177898,3.7933
2.334589506,9.833134518,-1.968938306,0.024754471,0
3.39966083,11.70124833,-2.797327264,0.022920701,3.467
2.131639789,20.31388111,0.166610765,0.191291387,0
1.950713327,21.44376575,0.099301425,0.111641736,0
2.170629577,19.94899438,0.162963006,0.187643627,0
3.334652401,8.755812301,-1.763430784,0.05758123,0
3.283862675,12.11386697,-2.751101365,0.0691466,3.2093
3.100180297,11.15026257,-2.89003743,0.028641943,3.8285
3.233876754,9.028665203,-1.752630703,0.068381311,0.1879
2.337936405,14.57650485,-1.208168565,0.159296365,0
2.16573029,16.77690684,-1.157079741,0.172991132,0
